timestamp,intemp,outtemp,inhumi,outhumi,winddir,windsp,press,rain,cabin_temp1,cabin_temp2,dome_temp1,dome_temp2,gen_temp1,gen_temp2,scan_num,obs_mode
1569982957.0167558,14.652982809306648,16.522584831754248,1.5865257857406132,8.149241736179945,268.8072900315947,5.983880212185677,570.986277366524,0.7939030935189605,22.21312115664734,32.22543048793635,10.212786481611863,13.660771107778686,9.980094059645769,13.781758657718683,0,0
1569983008.572744,15.201572618196444,15.864318476608796,1.617507424595823,8.874891274247751,268.6358415345262,6.3381922140856,570.5430425687821,0.9851872660498188,22.099977916765216,31.67991482024941,10.131559509760333,12.99321913268522,9.92463573038699,13.176265918679466,0,1
1569983044.3253143,15.28058909352232,16.147752146900853,1.3721081085813298,8.69564189501418,268.19513498683415,6.529355951449028,570.1430966128189,0.09268940495860867,21.342641767664087,31.952093072819284,10.42911867786099,13.759571550526644,10.433294161810334,13.02475488298725,0,2
1569983081.371148,14.407113651305405,16.143220778914063,1.4750109694297362,8.983957730971328,268.5411190772749,6.683565455960582,570.4275034277347,0.6420982639125195,21.38366847757905,31.709151017157065,10.207058291979367,13.604773615468828,10.59088569007605,13.26415054916346,0,3
1569983120.436969,15.141403287369416,16.316850430037473,1.3790466537495079,8.118258698115849,268.3982116776799,6.120446959899899,570.9879430730815,0.6425829615827845,21.37892345360296,31.76947271142323,10.562000999243613,13.822524798511024,10.177597589826389,13.502086835681238,0,4
1569983156.1814077,15.103880705622432,16.76261074545496,1.3553036409232728,8.869544855175135,268.8082942644702,6.642270508823725,570.6067004950967,0.5484023117681252,21.37202685067617,31.98699291807383,10.42993892360783,12.904842083446699,10.179716019950433,13.724997335128032,1,0
1569983192.0418565,14.897507914606232,16.750411172827963,1.1784508760910732,8.27760899368335,268.2205996253401,6.333657208780365,570.370437194099,0.9826593502791238,21.397819506781186,31.752838741944736,9.864450069332925,13.302055341292345,10.14898501747213,13.581358312895071,1,1
1569983227.9014409,15.168599666013385,16.463014919350798,1.1189914503776546,8.788050328263354,268.271690472645,6.157447095395715,570.6895079141523,0.645278685762217,21.986333590657136,32.52796169273182,10.280933513808815,12.914913784956953,10.620353345507498,13.186580041911014,1,2
1569983263.7547698,14.576643102541292,16.289709096736726,1.8430666345433413,8.005045013901947,268.90242149505656,6.514007116862593,570.6473824523333,0.8879616912022888,21.77203901053141,31.99423367041582,10.34553868309503,13.004389744704795,10.148953762079586,13.733458854528358,1,3
1569983299.6144195,14.35069662914864,16.228837661246395,1.1971653833553757,8.04107067717937,268.4778138369826,6.774229358475643,570.1654431072354,0.7743946717184419,21.60948697045734,32.26321128398614,10.269586072617198,13.645660338676267,10.410272232750183,13.455966400498466,1,4
